city,population,population_year,population_date,source
Wasilków,12894,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głowno,12889,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Człuchów,12821,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pszów,12807,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tuchola,12789,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łęczyca,12760,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wschowa,12758,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żnin,12724,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Słupca,12715,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Barlinek,12714,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dębno,12709,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wąbrzeźno,12657,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubsko,12630,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Leżajsk,12478,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Morąg,12442,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sędziszów Małopols,12423,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głuchołazy,12353,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nidzica,12334,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Góra Kalwaria,12294,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brzeg Dolny,12293,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Darłowo,12283,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Błonie,12177,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chojnów,12141,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rabka-Zdrój,12088,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kłobuck,12080,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wołów,11895,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koluszki,11882,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Warka,11864,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Włodawa,11857,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Złocieniec,11834,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brzeziny,11822,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzelin,11799,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wolsztyn,11681,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Węgrów,11662,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pyrzyce,11622,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pasłęk,11540,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sławno,11537,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siechnice,11537,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głubczyce,11376,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Aleksandrów Kujawski,11362,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dąbrowa Tarnowska,11356,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubaczów,11203,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Drawsko Pomorskie,11110,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Golub-Dobrzyń,11038,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głogów Małopolski,11015,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miechów,10814,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mogilno,10766,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rogoźno,10687,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Janów Lubelski,10665,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubawa,10644,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Milicz,10557,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koronowo,10544,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Góra,10523,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brzeszcze,10458,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wisła,10446,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Węgorzewo,10431,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wronki,10328,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szydłowiec,10325,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szprotawa,10296,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Puck,10289,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Murowana Goślina,10275,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Myślibórz,10248,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krosno Odrzańskie,10246,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowa Dęba,10173,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Parczew,10054,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ciechocinek,9995,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zdzieszowice,9984,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Miasto Lubawskie,9950,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pobiedziska,9918,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Syców,9859,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kostrzyn,9849,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Międzychód,9835,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biskupiec,9793,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krzeszowice,9750,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czersk,9729,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kolno,9707,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czarnków,9703,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sulęcin,9582,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzelce Krajeński,9560,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Środa Śląska,9496,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pińczów,9492,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kowary,9439,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Imielin,9432,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łobez,9403,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krynica-Zdrój,9377,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Włoszczowa,9352,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Dwór Gdański,9335,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szubin,9323,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Drezdenko,9296,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mońki,9290,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzebiatów,9227,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Puszczykowo,9198,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opalenica,9188,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bukowno,9182,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dobre Miasto,9171,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miastko,9120,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Karczew,9120,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kudowa-Zdrój,9104,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Władysławowo,9037,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Olesno,8940,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kruszwica,8940,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Blachownia,8938,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wysokie Mazowieckie,8938,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skwierzyna,8922,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Oborniki Śląskie,8872,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ryki,8823,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sztum,8781,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kożuchów,8759,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Maków Mazowiecki,8731,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bystrzyca Kłodzka,8724,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sucha Beskidzka,8711,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sępólno Krajeńskie,8609,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stary Sącz,8580,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czarna Białostocka,8446,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żuromin,8353,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kolbuszowa,8351,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wojkowice,8333,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzyżów,8296,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chełmek,8219,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ustrzyki Dolne,8204,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wieruszów,8195,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jastrowie,8166,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kórnik,8104,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kamień Pomorski,8090,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tłuszcz,8055,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kalety,8052,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Poniatowa,8050,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pniewy,8015,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Janikowo,8011,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Poręba,7981,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Prabuty,7953,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wolbrom,7946,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lwówek Śląski,7938,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Orneta,7835,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mszana Dolna,7808,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ziębice,7795,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grodków,7723,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ozimek,7717,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opole Lubelskie,7675,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Witkowo,7355,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żychlin,7335,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chojna,7318,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Barczewo,7310,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Suchedniów,7307,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nasielsk,7295,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Połaniec,7286,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chocianów,7227,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzemeszno,7181,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brzozów,7153,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Olsztynek,7149,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tuszyn,7119,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sobótka,7112,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Połczyn-Zdrój,7096,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kąty Wrocławskie,7083,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lidzbark,7069,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pelplin,7045,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zwoleń,7001,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zbąszyń,6964,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Praszka,6921,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zelów,6892,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miasteczko Śląskie,6854,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Barcin,6785,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sławków,6768,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łosice,6742,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pieszyce,6725,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żukowo,6718,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sianów,6670,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Poddębice,6613,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gniewkowo,6583,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czaplinek,6562,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skarszewy,6523,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łochów,6519,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sułkowice,6517,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Paczków,6492,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gogolin,6428,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Białobrzegi,6347,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Witnica,6339,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Boguchwała,6315,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rzepin,6304,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żarów,6304,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rudnik nad Sanem,6281,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łazy,6260,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zawadzkie,6251,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pajęczno,6241,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Choroszcz,6240,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żmigród,6181,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dobczyce,6109,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tuchów,6106,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Twardogóra,6094,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Otmuchów,6058,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sędziszów,6044,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koźmin Wielkopolsk,6029,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gryfów Śląski,6020,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mszczonów,5989,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gniew,5974,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dynów,5941,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grybów,5877,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sulejów,5860,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stęszew,5828,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piława Górna,5817,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głuszyca,5789,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siewierz,5783,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krzyż Wielkopolski,5776,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opatów,5769,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bełżyce,5763,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Polanica-Zdrój,5755,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kłodawa,5746,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sieraków,5739,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Proszowice,5701,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Niemodlin,5671,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piechowice,5636,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Śmigiel,5577,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Więcbork,5559,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szklarska Poręba,5546,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czarne,5500,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lewin Brzeski,5489,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wieleń,5485,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przemków,5465,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Maków Podhalański,5460,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Buk,5443,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Serock,5441,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jedlicze,5429,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubawka,5427,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Karlino,5415,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głogówek,5386,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jordanów,5377,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pieńsk,5373,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kietrz,5365,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe,5346,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piwniczna-Zdrój,5301,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wołczyn,5235,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koniecpol,5230,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowa Sarzyna,5223,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ścinawa,5204,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Orzysz,5185,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Susz,5163,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczawnica,5162,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przysucha,5143,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzelno,5139,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczyrk,5138,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Działoszyn,5128,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczawno-Zdrój,5121,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pakość,5058,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wyrzysk,5053,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czempiń,5038,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Terespol,5036,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brusy,5032,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lesko,5022,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jaworzyna Śląska,5001,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kobylnica,4998,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stąporków,4982,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radziejów,4954,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pilzno,4950,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kazimierza Wielka,4938,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dąbrowa Białostock,4924,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Odolanów,4903,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lipsko,4870,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zagórz,4844,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stronie Śląskie,4843,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radymno,4841,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skoki,4828,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lądek-Zdrój,4827,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zbąszynek,4816,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Międzyzdroje,4796,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dzierzgoń,4781,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Debrzno,4774,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Borne Sulinowo,4772,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sejny,4771,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczytna,4734,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tyczyn,4680,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Budzyń,4653,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczebrzeszyn,4647,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowogród Bobrzańsk,4636,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wolin,4575,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bolków,4568,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kuźnia Raciborska,4554,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krobia,4554,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jedlina-Zdrój,4551,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Skalmierzyce,4524,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brześć Kujawski,4523,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skaryszew,4444,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łaskarzew,4421,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pilawa,4419,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Muszyna,4416,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sokołów Małopolski,4400,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bierutów,4399,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bychawa,4388,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tarczyn,4369,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ciechanowiec,4307,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żarki,4295,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chęciny,4282,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Supraśl,4275,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kamieniec Ząbkowic,4273,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Olszyna,4267,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łabiszyn,4258,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kalwaria Zebrzydow,4247,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biecz,4237,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zduny,4236,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Golina,4218,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kcynia,4162,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Słomniki,4144,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Iłża,4138,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piotrków Kujawski,4122,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Karpacz,4113,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ożarów,4083,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gąbin,4082,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żabno,4079,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Woźniki,4076,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krzepice,4058,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowogrodziec,4047,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczucin,4045,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sława,4043,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mrocza,4040,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kowalewo Pomorskie,4013,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kalisz Pomorski,3996,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ruciane-Nida,3984,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
