city,population,population_year,population_date,source
Rumia,53949,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stalowa Wola,53897,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biała Podlaska,53650,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kędzierzyn-Koźle,53473,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Będzin,52858,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zgierz,52628,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Legionowo,52034,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świdnica,51701,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piaseczno,51584,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bełchatów,51247,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piekary Śląskie,51193,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Racibórz,48898,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrołęka,47443,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Marki,46676,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ząbki,45654,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wejherowo,45308,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zawiercie,45242,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skierniewice,44958,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Starogard Gdański,44870,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świętochłowice,44777,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wodzisław Śląski,44244,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Starachowice,43516,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krosno,43454,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Otwock,43320,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Puławy,43235,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kołobrzeg,43225,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tarnobrzeg,42947,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dębica,42421,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radomsko,42133,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mikołów,41492,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ciechanów,41326,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skarżysko-Kamienna,40360,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kutno,40095,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nysa,40026,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mińsk Mazowiecki,39580,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świnoujście,38360,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żyrardów,38306,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chojnice,38225,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sieradz,38021,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zduńska Wola,37675,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczecinek,37136,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bolesławiec,36663,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kwidzyn,36375,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Malbork,36339,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świdnik,36318,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grodzisk Mazowieck,35365,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowa Sól,35335,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wołomin,35217,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Oświęcim,35121,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Knurów,35072,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jarosław,34870,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Oleśnica,34799,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czechowice-Dziedzi,34561,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żary,34137,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lębork,33687,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sanok,33677,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chrzanów,33349,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Targ,33045,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Oława,33029,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sochaczew,32941,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brzeg,32910,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Luboń,32785,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Cieszyn,32348,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pruszcz Gdański,32257,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jasło,32205,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Iława,31909,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Olkusz,31688,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Września,31668,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sopot,31300,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostróda,30864,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mława,30680,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kraśnik,30667,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dzierżoniów,30169,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czeladź,29430,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żywiec,29273,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Police,29157,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Reda,29017,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Myszków,28803,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kobyłka,28700,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Augustów,28611,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Dwór Mazowiecki,28413,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wieliczka,28399,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bochnia,28271,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zgorzelec,28223,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krotoszyn,27914,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brodnica,27835,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Swarzędz,27709,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bielawa,27554,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Śrem,27289,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łuków,26765,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Giżycko,26639,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jarocin,26260,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czerwionka-Leszczy,26113,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wyszków,25743,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łowicz,25429,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wągrowiec,25302,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zakopane,24988,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gorlice,24972,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kętrzyn,24626,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pszczyna,24621,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świecie,24609,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biłgoraj,24476,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kłodzko,24363,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Środa Wielkopolska,24286,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Turek,23979,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skawina,23813,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bielsk Podlaski,23406,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kościerzyna,23250,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wałcz,23117,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubliniec,23077,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kościan,22989,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żagań,22976,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piastów,22671,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Orzesze,22231,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
